TOTAL,notEvaluated,TIME,phoneCount,workCount
3,38,2018-04-11,4,7
5,30,2018-08-23,4,6
2,39,2018-03-16,6,3
3,35,2018-05-15,3,8
6,31,2018-03-12,2,6
8,40,2018-05-03,7,8
1,37,2018-06-22,7,6
10,29,2018-10-10,4,4
3,37,2018-01-19,11,1
2,21,2018-02-27,2,3
26,19,2018-08-24,1,3
2,46,2018-02-23,6,8
8,21,2018-09-27,2,5
53,30,2018-10-23,4,5
2,32,2018-07-21,6,1
1,31,2018-09-15,3,4
2,26,2018-04-25,3,3
7,33,2018-05-25,4,3
2,33,2018-08-02,7,5
2,38,2018-08-04,7,5
5,38,2018-07-28,1,6
3,17,2018-10-31,5,1
2,30,2018-05-31,4,4
9,33,2018-07-20,1,4
1,34,2018-08-09,6,8
2,36,2018-08-29,3,11
2,33,2018-10-07,1,2
15,26,2018-10-25,2,2
2,30,2018-06-10,2,1
2,33,2018-07-29,5,4
1,35,2018-03-30,3,4
2,41,2018-02-02,1,7
5,34,2018-06-04,7,3
7,48,2018-01-10,11,10
3,34,2018-01-26,7,2
2,33,2018-02-07,5,2
2,43,2018-03-28,10,5
2,26,2018-06-25,4,5
2,27,2018-01-01,4,5
3,45,2018-05-21,5,9
1,23,2018-01-28,4,3
1,44,2018-03-15,3,12
2,53,2018-04-28,6,10
4,39,2018-06-09,5,7
2,32,2018-03-07,6,5
2,36,2018-08-30,2,6
2,24,2018-02-26,6,4
6,37,2018-10-26,8,4
2,54,2018-09-29,11,8
2,30,2018-06-03,4,6
3,47,2018-01-12,7,9
2,42,2018-02-17,2,4
2,18,2018-04-18,2,4
1,25,2018-06-30,4,4
2,30,2018-02-06,1,4
2,28,2018-03-21,4,5
3,20,2018-06-11,3,5
2,28,2018-07-09,4,5
3,38,2018-08-13,1,6
10,32,2018-10-29,3,5
2,30,2018-02-15,4,2
29,46,2018-06-08,6,8
2,52,2018-02-09,6,6
14,28,2018-08-14,7,7
4,58,2018-10-03,8,7
11,30,2018-01-16,3,4
14,33,2018-04-14,7,7
1,31,2018-07-07,5,4
14,33,2018-08-18,1,1
2,40,2018-09-10,7,7
3,,2018-03-05,9,
2,,2018-09-12,,
2,,2018-07-14,,
2,,2018-01-07,,
2,,2018-03-11,,
2,,2018-08-26,,
2,,2018-02-04,,
3,,2018-03-17,5,
1,,2018-09-26,1,
14,38,2018-05-16,7,6
4,37,2018-02-16,8,7
2,38,2018-09-02,12,3
6,16,2018-01-20,4,1
2,35,2018-06-23,5,5
1,34,2018-10-13,6,2
4,23,2018-01-25,1,2
3,34,2018-02-05,5,4
7,33,2018-10-15,9,5
2,37,2018-03-09,4,6
2,24,2018-05-29,3,4
1,24,2018-07-01,2,2
2,33,2018-03-03,7,6
3,31,2018-04-13,7,3
2,26,2018-06-18,4,1
2,31,2018-06-15,8,4
4,34,2018-08-07,6,5
2,33,2018-10-24,6,7
4,24,2018-01-04,4,2
3,52,2018-02-18,4,4
3,27,2018-05-06,1,4
