TOTAL,wpj,cTotal,TIME,bTotal
3,38,7,2018-04-11,4
5,,6,2018-08-23,4
5,30,6,2018-08-23,4
5,,6,2018-08-23,4
2,39,3,2018-03-16,6
3,35,8,2018-05-15,3
3,,8,2018-05-15,3
3,,8,2018-05-15,3
3,,8,2018-05-15,3
6,,6,2018-03-12,2
6,31,6,2018-03-12,2
8,40,8,2018-05-03,7
1,,6,2018-06-22,7
1,37,6,2018-06-22,7
1,,6,2018-06-22,7
10,,4,2018-10-10,4
10,29,4,2018-10-10,4
3,37,1,2018-01-19,11
2,21,3,2018-02-27,2
26,,3,2018-08-24,1
26,19,3,2018-08-24,1
2,46,8,2018-02-23,6
8,21,5,2018-09-27,2
53,30,5,2018-10-23,4
2,32,1,2018-07-21,6
2,,1,2018-07-21,6
1,31,4,2018-09-15,3
1,,4,2018-09-15,3
1,,4,2018-09-15,3
2,26,3,2018-04-25,3
7,,3,2018-05-25,4
7,33,3,2018-05-25,4
7,,3,2018-05-25,4
2,,5,2018-08-02,7
2,33,5,2018-08-02,7
2,,5,2018-08-02,7
2,38,5,2018-08-04,7
2,,5,2018-08-04,7
5,,6,2018-07-28,1
5,,6,2018-07-28,1
5,,6,2018-07-28,1
5,38,6,2018-07-28,1
3,,1,2018-10-31,5
3,17,1,2018-10-31,5
2,,4,2018-05-31,4
2,,4,2018-05-31,4
2,30,4,2018-05-31,4
9,33,4,2018-07-20,1
9,,4,2018-07-20,1
1,34,8,2018-08-09,6
1,,8,2018-08-09,6
2,,11,2018-08-29,3
2,36,11,2018-08-29,3
2,,2,2018-10-07,1
2,,2,2018-10-07,1
2,33,2,2018-10-07,1
15,,2,2018-10-25,2
15,26,2,2018-10-25,2
2,30,1,2018-06-10,2
2,,1,2018-06-10,2
2,33,4,2018-07-29,5
2,,4,2018-07-29,5
1,35,4,2018-03-30,3
2,41,7,2018-02-02,1
5,,3,2018-06-04,7
5,34,3,2018-06-04,7
7,48,10,2018-01-10,11
3,34,2,2018-01-26,7
3,,2,2018-01-26,7
2,33,2,2018-02-07,5
2,43,5,2018-03-28,10
2,,5,2018-06-25,4
2,26,5,2018-06-25,4
2,27,5,2018-01-01,4
3,,9,2018-05-21,5
3,45,9,2018-05-21,5
1,23,3,2018-01-28,4
1,44,12,2018-03-15,3
2,53,10,2018-04-28,6
2,,10,2018-04-28,6
4,39,7,2018-06-09,5
4,,7,2018-06-09,5
4,,7,2018-06-09,5
2,32,5,2018-03-07,6
2,36,6,2018-08-30,2
2,,6,2018-08-30,2
2,24,4,2018-02-26,6
6,37,4,2018-10-26,8
6,,4,2018-10-26,8
2,,8,2018-09-29,11
2,54,8,2018-09-29,11
2,,6,2018-06-03,4
2,30,6,2018-06-03,4
2,,6,2018-06-03,4
3,47,9,2018-01-12,7
2,42,4,2018-02-17,2
2,18,4,2018-04-18,2
1,,4,2018-06-30,4
1,25,4,2018-06-30,4
1,,4,2018-06-30,4
