total,CHANNEL_NO,TIME
2,17,2018-01-08
2,8,2018-03-02
2,15,2018-02-17
2,29,2018-01-04
1,11,2018-01-04
2,29,2018-05-08
2,12,2018-05-14
2,9,2018-03-30
3,0,2018-07-24
1,1,2018-08-08
3,11,2018-06-07
2,20,2018-08-14
1,5,2018-06-12
2,7,2018-06-26
2,26,2018-07-26
2,21,2018-07-13
2,6,2018-05-30
2,4,2018-07-02
1,29,2018-09-27
2,22,2018-10-23
3,3,2018-10-09
2,12,2018-10-12
2,9,2018-11-11
2,10,2018-11-25
3,8,2018-02-06
4,27,2018-02-12
2,3,2018-02-06
2,18,2018-02-01
5,16,2018-02-10
2,5,2018-03-17
2,16,2018-03-28
2,3,2018-03-30
2,12,2018-03-28
2,2,2018-10-07
1,1,2018-10-23
1,10,2018-06-06
2,4,2018-10-17
2,26,2018-10-11
2,5,2018-07-03
2,12,2018-11-22
2,2,2018-10-29
1,4,2018-08-22
1,3,2018-09-23
2,8,2018-08-30
1,22,2018-01-07
2,21,2018-03-06
3,4,2018-01-10
2,20,2018-05-15
3,25,2018-05-09
3,5,2018-05-19
2,1,2018-05-13
2,12,2018-01-22
2,5,2018-04-14
2,22,2018-05-27
3,22,2018-05-28
2,15,2018-08-08
2,29,2018-06-10
2,27,2018-08-16
2,19,2018-07-20
3,0,2018-06-06
2,5,2018-06-22
2,26,2018-06-17
2,7,2018-04-08
2,22,2018-10-07
2,14,2018-10-12
2,21,2018-10-10
2,11,2018-09-12
2,26,2018-08-23
2,6,2018-11-26
2,22,2018-10-26
3,2,2018-02-01
3,5,2018-02-01
3,17,2018-03-18
2,13,2018-04-24
1,18,2018-01-24
3,21,2018-05-27
1,9,2018-05-30
1,27,2018-08-05
1,8,2018-04-14
3,15,2018-10-16
5,23,2018-09-26
1,16,2018-07-08
1,1,2018-08-29
1,26,2018-01-05
2,24,2018-01-23
2,2,2018-03-05
2,28,2018-02-05
2,17,2018-01-19
4,7,2018-02-11
2,9,2018-01-03
3,5,2018-04-29
2,10,2018-05-11
3,26,2018-05-20
2,29,2018-05-22
1,1,2018-04-20
2,23,2018-04-16
2,26,2018-06-01
2,3,2018-06-05
1,11,2018-06-24
2,22,2018-07-26
