TOTAL,CONTENT
7165,乘客
6187,司机
5126,为
4918,出租车
4195,打车
3872,该
3840,到
3661,左右
3596,的
3548,于
3457,从
3423,分
2979,车牌号
2912,咨询
2872,月日
2696,所
2492,辽
2048,乘
2016,遗落
2006,了
1980,在
1771,物品
1582,车辆
1385,电话
1190,平时
1164,与
1116,走
1109,男性
1078,路线
1068,元
1049,态度
1037,丢失
1030,绿色
988,被
977,恶劣
965,上
934,不
899,体貌
898,特征
873,只
869,极其
863,上面
828,需要
797,服务
768,东西
765,辽车
744,身为
733,如何
702,由于
684,查找
659,相关
653,发生
649,拒载
628,矛盾
624,花费
616,投诉
608,本次
603,下车
580,手机
578,元故
569,认为
569,站前
562,车
561,里
551,进行
545,计价器
537,牌号
524,原因
520,要求
516,事宜
515,时
458,不同
451,向
449,强行
437,绕远
406,结果
401,处理
382,但是
370,没有
363,反映
355,客管处
355,地方
339,载
325,联系
322,车身
312,拒
294,辱骂
291,方式
275,后
271,索要
264,有
255,同意
254,铁西
250,元所
246,使用
245,火车站
242,就
239,当事人
237,是
225,打
